SitePatch,SurveyDate,SiteNumber,SiteName,SiteType,State,FieldID,FlowID,SporeID,StomateID,SpeciesFinal,Habitat,Latitude,Longitude,Elevation,PatchSize,RamNum,RamDens,PCC,MicSlope,MicAspect,AdjMicAspect,final_MicAspect,MicHs,MacSlope,MacAspect,AdjMacAspect,final_MacAspect,MacHs,HsPos,LitDep,DepO,DepA,DepSoil,TexComp,pH,PctOM,P,K,Ca,Mg,Zn,B,Mn,Cu,Fe,Al,Na,S,ExchAcid,ECEC,Ca_BS,Mg_BS,K_BS,Pb,Ni,Cd,Cr,Ca:Mg
6.6,2017-07-10,6,BrownsLedges,S,VT,P,P,,,P,Rich Northern Hardwood Forest,44.83112,-72.45287,398,42,31,0.738095238095238,88.56,40,144,144,SE,"LL,LC",33,140,140,SE,LC,Bs,3.22222222222222,1.27777777777778,3.16666666666667,10.5555555555556,silty clay loam,5.4,10.881,3.5,76,955,807,11.9,0.2,18.8,0.05,9.8,30,14,15,5.39,11.69,27.95,39.36,1.14,0.85,9.6,0.25,0.05,1.18339529120198
6.7,2017-08-23,6,BrownsLedges,S,VT,A,,A,,A,Serpentine Outcrop,44.83038,-72.45665,466,2.5,8,3.2,93.76,20,301,301,W,CL,60,301,301,W,LV,Sh,1.54545454545455,2.59090909090909,1.41666666666667,4.13636363636364,clay loam,6.82,12.337,1.7,65,333,1584,0.35,0.45,3.2,0.05,3.2,8,11,8,1.18,15.03,10.27,81.43,1.03,0.25,7.45,0.05,0.1,0.210227272727273
6.8,2017-09-04,6,BrownsLedges,S,VT,T,3x,abort,,T,Serpentine Outcrop,44.8293,-72.45582,454,6,6,1,89.86,22,19,19,N,LL,43.5,208,208,S,CC,Bs,1.71428571428571,1.57142857142857,1.71428571428571,3.64285714285714,clay loam,6.44,13.975,2.7,81,710,1469,1,0.25,5.6,0.05,3.2,5,17,10,2.69,16,18.99,65.49,1.11,0.8,6.45,0.05,0,0.483321987746766
7.1,2016-07-19,7,GreenRRSP,NS,VT,P,,,,P,Rich Northern Hardwood Forest,44.64053,-72.52703,429,54.5,28,0.513761467889908,90.64,42,110,110,E,"LC, LL",37,108,108,E,CC,Sh/Bs,3.25,2,2.9,3.786,clay loam,5.35,18.252,1.4,78,1399,213,11.55,0.15,37.2,0.15,10.8,108,8,12,7.4,8.97,42.72,10.84,1.22,0.45,0.35,0.25,0.1,6.56807511737089
8.1,2016-08-15,8,MississquoiLedges,S,VT,A,,A,,A,Serpentine Outcrop,44.807,-72.45557,301.4,14.0725,22,1.56333274116184,82.58,20,288,288,W,CL,37,288,288,W,LC,Bs,0,3.66,4.33,4.4,clay loam,6.73,13.884,4.2,67,290,1923,1.3,0.6,10,0.05,3.8,4,11,7,1.77,17.65,7.47,82.55,0.88,0.35,13.3,0.1,0.05,0.15080603224129
8.2,2016-08-15 & 2016-08-16,8,MississquoiLedges,S,VT,A,A,abort,,T,Serpentine Outcrop,44.80702,-72.45556,296.3,15,22,1.46666666666667,67.24,50,260,260,SW,LC,53,270,270,SW,LC,Bs,2.41666666666667,2.5,2.16666666666667,3.79166666666667,clay loam,5.26,41.002,4.5,77,402,1003,3.25,0.1,18.4,0.1,6.6,4,11,7,12.05,10.57,8.89,36.96,0.87,2.55,4.3,0.1,0.05,0.400797607178465
8.3,2016-08-16,8,MississquoiLedges,S,VT,2x,,A,,A,Serpentine Outcrop,44.80758,-72.4558,282.8,2.75,19,6.90909090909091,85.7,0,0,0,N,CL,38,0,0,N,LV,Bs,0.818181818181818,1.25,1.25,2.5,clay loam,6.71,22.802,3.65,82,444,1854,0.6,0.4,12.8,0.05,4.1,2,9,7,3.7,17.88,10.29,71.61,0.97,0.8,6.05,0.1,0.05,0.239482200647249
8.4,2016-08-19,8,MississquoiLedges,S,VT,A,,A,,A,Serpentine Outcrop,44.80674,-72.45579,279.1,1.75,12,6.85714285714286,85.44,0,250,250,SW,CC,44,250,250,SW,LC,Bs,2.16666666666667,1.97222222222222,1.97222222222222,3.944,clay loam,6.52,26.442,4.9,108,461,1353,0.35,0.3,17.6,0.1,5.2,3,18,8,5.05,13.86,12.19,59.62,1.46,1.8,5.55,0.15,0.05,0.340724316334072
8.5,2016-08-19,8,MississquoiLedges,S,VT,V,V,,,V,Serpentine Outcrop,44.80676,-72.45587,287.4,21,23,1.0952380952381,58.66,33,281,281,W,"LC, LL, LV",49,274,274,W,CC,Bs,1.857,2.25,2.25,2.73,loam/clay loam,5.49,38.727,7.85,117,370,953,2.6,0.1,18.4,0.1,4.2,2,16,8,10.85,10.09,8.84,37.93,1.43,1.45,4.05,0.1,0.05,0.388247639034627
8.6,2016-08-21,8,MississquoiLedges,S,VT,V,V,abort,,T,Serpentine Forest,44.807574,-72.454993,291.4,8.25,11,1.33333333333333,81.8,30,0,0,N,LC,29,0,0,N,LC,Bs,1.7,2.6,4.5,12.6,sandy clay loam,6.14,6.968,1.5,34,217,1378,2.45,0.15,16.1,0.05,4.4,6,8,4,2.16,12.66,7.32,77.5,0.59,0.35,9.6,0.1,0.1,0.157474600870827
9.1,2016-08-20,9,WFarmanHill,S,VT,V,,V,,V,Serpentine Forest,44.83426,-72.42493,423.666666666667,31.4,23,0.732484076433121,83.88,4,350,350,NW,"LL, LC",11,354,354,NW,CC,Sh,2.9375,2.6875,3.21428571428571,7.25,clay loam/silty clay loam,6.31,28.899,5.65,91,361,1868,3.05,0.25,21,0.05,2.3,4,12,9,6.23,17.61,7.57,65.31,0.98,0.5,10.5,0.15,0.1,0.193254817987152
9.2,2016-08-22,9,WFarmanHill,S,VT,A,A,,,A,Serpentine Outcrop,44.834,-72.42625,364.845588,19.5,26,1.33333333333333,58.4,42,258,258,SW,"LC,LL",45,270,270,SW,CC,Bs,1.91666666666667,1.6667,2.33333333333333,4.5,loam/clay loam,6.4,28.899,4.7,86,394,1501,0.75,0.35,11.2,0.05,2.5,2,8,7,5.94,14.7,9.54,60.6,1.07,0.9,3,0.1,0.1,0.262491672218521
9.3,2016-08-23,9,WFarmanHill,S,VT,V,,V,,V,Serpentine Forest,44.83414,-72.42913,309.98,75,62,0.826666666666667,85.18,15,298,298,W,LC,14,309,309,W,LC,Bs,1.78571428571429,3.3,3.25,11.7142857142857,clay loam,5.94,14.157,2.15,33,247,1234,1.8,0.1,8.8,0.05,2.8,7,8,5,4.3,11.6,7.77,64.66,0.53,0.75,6.85,0.1,0.05,0.200162074554295
9.4,2016-09-04,9,WFarmanHill,S,VT,T,3x,abort,,T,Serpentine Outcrop,44.834028,-72.426306,352.16,6,17,2.83333333333333,71.14,42,275,275,W,"LC, LL",36,285,285,W,LC,Bs,1.95,1.94444444444444,2.1,3.3,NA,5.36,53.287,12.85,125,836,993,3.35,0.1,13.2,0.05,3.8,5,9,9,14.32,12.78,15.43,30.54,1.18,3.5,2.8,0.1,0.1,0.841893252769386
9.5,2017-08-16,9,WFarmanHill,S,VT,V,V,,,V,Serpentine Forest,44.83568,-72.42813,301,1200,162,0.135,65.42,10,328,328,NW,"LL,LV",20,262,262,SW,LC,Bs,1.36111111111111,1,3.95,10.2777777777778,clay loam,6.42,24.349,2.2,50,432,2041,2.1,0.25,7.2,0.05,6.3,14,15,12,4.97,19.3,8.9,70.09,0.53,0.7,7.75,0.1,0.15,0.211660950514454
10.1,2016-08-25,10,BelvidereMines,S,VT,V,V,V,V,V,Serpentine Forest,44.75639,-72.52723,392.582387437364,300,135,0.45,66.2,5,0,0,N,LC,6,0,0,N,CC,Ts,1.75,2.375,10.875,38.1,sandy clay loam,7.04,7.15,1.75,52,358,1213,0.95,0.25,7.6,0.55,2.2,31,8,4,0,12.03,14.88,84.01,1.11,0.05,0.95,0.05,0.05,0.295136026380874
10.2,2016-08-28,10,BelvidereMines,S,VT,V,V,abort,,T,Serpentine Forest,44.75713,-72.52892,434.644786091367,37.5,36,0.96,85.44,33,250,250,SW,LV,25,257,257,SW,LC,Bs,2.625,2.8125,2.85714285714286,5.875,sandy clay loam,6.63,19.799,3.4,53,661,1282,0.75,0.3,7.6,0.1,3.2,4,11,7,3.32,14.12,18.95,61.24,0.78,0.3,3,0.05,0.1,0.515600624024961
10.3,2016-09-17,10,BelvidereMines,S,VT,P,,P,,P,Rich Northern Hardwood Serpentine Forest,44.75656,-72.52737,391.667987466624,78.5,79,1.00636942675159,83.62,18,273,273,W,"VC, LL, LC",20,270,270,SW,LC,Bs,2.1,3.8,4.4,20,sandy clay loam,6.69,8.515,3.55,61,1183,923,5.6,0.25,18.4,0.05,2.6,6,8,7,0.77,13.76,40.7,52.92,1.08,0.05,5.95,0.25,0.1,1.28169014084507
10.4,2017-07-17,10,BelvidereMines,S,VT,V,V,,,V,Serpentine Mine Barrens,44.7564,-72.53243,407,32,31,0.96875,42.58,4,286,286,W,LL,10,296,296,W,LC,Ts,1.92857142857143,1.35714285714286,1.21428571428571,2.5,sandy clay loam,7.31,18.434,6.15,88,398,2305,2.95,2.05,5.1,0.05,2.4,5,12,6,0.92,21.42,8.91,85.98,1.01,0.1,3.05,0.05,0.05,0.172668112798265
10.5,2017-07-21,10,BelvidereMines,S,VT,V,,,,V,Northern Hardwood Serpentine Forest,44.75574,-72.53263,426,79,61,0.772151898734177,79.72,5,176,176,SE,"LC,LV,LL",20,228,228,SW,LC,Ts,1.5,3.08333333333333,7.41666666666667,13.0833333333333,silty clay,7.21,21.892,0.8,29,526,2532,0.95,0.5,2.4,0.05,3.2,10,14,7,1.98,23.8,10.2,81.84,0.29,0.25,1.35,0.05,0.05,0.207740916271722
10.6,2017-07-24,10,BelvidereMines,S,VT,V,V,,,V,Northern Hardwood Serpentine Forest,44.75061,-72.54309,437,32,26,0.8125,53.98,15,126,126,E,"LV,LL",6,130,130,E,LC,Ts,1.75,0.875,7.375,13.125,loamy sand,7.48,2.691,1.35,15,383,442,0.55,0.25,3.3,0.05,3,5,6,5,0,5.64,33.97,65.34,0.68,0.15,23.4,0.05,0.1,0.866515837104072
10.7,2017-08-20 & 2017-08-22,10,BelvidereMines,S,VT,V,V,,,V,Northern Hardwood Serpentine Forest,44.75424,-72.53379,425,162,90,0.555555555555556,66.2,14,131,131,E,"VV,VL,LL",5.5,185,185,S,LC,Ts,1.625,2,10.75,18.25,clay loam,7.51,14.885,1.3,41,408,1462,1.15,0.25,6.6,0.45,3,31,13,13,0,14.33,14.24,85.03,0.73,0.3,2.2,0.1,0.2,0.27906976744186
10.8,2017-08-22 & 2017-08-25,10,BelvidereMines,S,VT,V,V,abort,,V,Northern Hardwood Serpentine Forest,44.76086,-72.54803,578,1047,187,0.178605539637058,77.38,16,142,142,SE,"LL,LV",19,158,158,SE,LC,Bs,1.5,4.5,8.625,9.5,sandy clay loam,7.01,8.424,1.15,25,466,1207,1.25,1.45,7.6,0.05,5.9,8,11,98,0,12.45,18.71,80.77,0.51,0.3,14.6,0.05,0.2,0.386081193040597
10.9,2017-08-25 & 2017-09-24,10,BelvidereMines,S,VT,P,,P,,P,Rich Northern Hardwood Serpentine Forest,44.76109,-72.54991,587,50,48,0.96,80.24,8,210,210,S,"LC,LL",12,184,184,S,LC,Ts,1.83333333333333,1.58333333333333,8.33333333333333,17.9166666666667,clay loam,6.45,10.153,0.85,34,1077,594,1.6,0.2,7.2,0.05,2.9,39,8,7,2,10.42,43.36,39.85,0.7,0.65,9.45,0.1,0.2,1.81313131313131
11.1,2017-06-12,11,CCPutnamSF,NS,VT,P,P,,,P,Rich Northern Hardwood Forest,44.46313,-72.63548,564,1468,227,0.154632152588556,79.46,28,325,325,NW,"LL,LC,LV",28,326,326,NW,LC,Bs,3.28571428571429,1.92857142857143,5.42857142857143,13.1428571428571,clay loam,5.83,11.791,1.35,57,2311,144,4.6,0.25,24.3,0.1,3.7,33,10,9,4.25,12.9,67.36,7,0.85,0.3,0.25,0.15,0,16.0486111111111
11.2,2017-06-22,11,CCPutnamSF,NS,VT,P,P,,,P,Rich Northern Hardwood Forest,44.46494,-72.6367,492,765,283,0.369934640522876,80.5,15,334,334,NW,"LL,LC,LV",19,328,328,NW,LC,Bs,2.5,2.2,8.6,17.5,silty clay loam,6.41,16.25,0.95,41,3313,230,1.35,0.3,19.2,0.5,1.7,24,14,9,3.34,18.59,75.54,8.74,0.48,0.15,0.15,0.1,0.05,14.404347826087
11.3,2017-06-26,11,CCPutnamSF,NS,VT,P,,,,P,Rich Northern Hardwood Forest,44.4624,-72.6384,532,1192,422,0.354026845637584,89.34,24,339,339,NW,"LL,LV,VV",22,350,350,NW,LC,Bs,2.2,1,6.8,8.4,silty clay loam,5.67,10.244,0.95,43,1890,134,2,0.15,11.3,0.15,8.2,107,8,7,4.72,10.68,61.36,7.25,0.72,0.45,0.2,0.1,0.05,14.1044776119403
12.1,2017-06-28,12,GleasonBrook,NS,VT,P,,,,P,Rich Northern Hardwood Forest,44.36496,-72.87991,229,1152,498,0.432291666666667,85.44,22,9,9,N,"LL,LC,LV",20,24,24,N,LC,Sh,1.6,0.3,8.2,21.5,clay loam,4.74,5.694,1,59,571,64,3.9,0.15,12.3,0.2,72.1,119,10,10,6.72,3.54,27.84,5.2,1.47,1,0.45,0.1,0.15,8.921875
12.2,2017-07-07,12,GleasonBrook,NS,VT,P,,,,P,Rich Northern Hardwood Forest,44.36554,-72.88147,230,250,70,0.28,86.74,48,344,344,NW,LC,40,15,15,N,LC,Sh,1.6875,0.8125,4.25,11.375,sandy clay loam,5.21,5.967,1,57,1199,140,2.7,0.1,17.1,0.15,19.7,71,9,7,5.12,7.31,48.25,9.39,1.18,0.7,0.8,0.15,0.05,8.56428571428572
12.3,2017-08-15,12,GleasonBrook,NS,VT,P,P,,,P,Rich Northern Hardwood Forest,44.36696,-72.88326,181,245,141,0.575510204081633,83.62,33,27,27,N,"LL,LV,LC",30,14,14,N,CC,Bs,1.25,3.75,11.25,20.5,clay loam,5.24,4.784,0.9,51,612,79,2.15,0.1,9.6,0.15,15.3,153,10,9,5.1,3.85,34.19,7.35,1.46,0.5,1.05,0.1,0.05,7.74683544303798
13.1,2017-07-20,13,BenedictineCliffs,S,VT,A,A,,,A,Serpentine Outcrop,44.85487,-72.42068,265,5,22,4.4,66.72,276,32,32,N,"CL,CC",270,42,42,N,LC,Sh,1.5,1.85714285714286,0.642857142857143,2.5,silty clay ,6.46,30.355,4.9,100,454,1871,1.6,0.25,6.1,0.05,4.3,4,22,13,6.07,18.12,9.39,64.47,1.06,2,4.3,0.1,0.05,0.242650988776056
13.2,2017-07-28,13,BenedictineCliffs,S,VT,A,A,,,A,Serpentine Outcrop,44.84724,-72.42284,274,10,11,1.1,87.52,20,252,252,SW,"LL,LV",54,262,262,SW,LC,Bs,1.28571428571429,1.5,4.14285714285714,5.64285714285714,silty clay loam,6.6,14.521,1.4,62,278,1957,0.5,0.25,4.2,0.05,4.1,13,11,9,2.34,17.86,6.88,80.73,0.79,0.3,9.95,0.1,0.15,0.142054164537557
13.3,2017-08-27,13,BenedictineCliffs,S,VT,A,A,,,A,Serpentine Outcrop,44.8419,-72.42586,261,17,53,3.11764705882353,66.46,37,301,301,W,"LC,LL",53,253,253,SW,LC,Bs,1.07142857142857,2.35714285714286,3.57142857142857,6.07142857142857,clay loam,6.98,24.44,2.75,85,278,2463,0.55,0.9,3.5,0.05,2.3,6,14,9,3.21,22.13,5.48,80.99,0.86,0.25,8.45,0.05,0.1,0.112870483150629
14.1,2018-06-12,14,GoatHill,S,PA,P,,P,,P,Serpentine-Influenced Oak-Red Maple Catbriar Forest,39.72844,-76.07449,127,29,30,1.03448275862069,85.96,23,188,184.5,S,"LC,LV",18,184,180.5,S,LV,Ts,1.66666666666667,1,6.83333333333333,11.5833333333333,clay loam,6.48,4.602,2.4,72,555,1241,0.9,0.15,18.7,0.05,3.5,5,11,9,0.6,13.3,19.96,74.38,1.33,0.2,27.75,0.05,0.15,0.447219983883965
14.2,2018-06-12,14,GoatHill,S,PA,P,,P,,P,Serpentine Mine Barrens,39.7223,-76.08048,96,29,26,0.896551724137931,20.44,43,218,214.5,S,LV,15,230,226.5,SW,LC,Bs,1.21428571428571,2.57142857142857,5.21428571428571,7.78571428571429,clay loam,7.62,7.605,2.6,54,715,1646,0.05,0.4,7.3,0.05,0.9,3,17,4,0,17.43,20.51,78.7,0.79,0.45,2.95,0,0.1,0.434386391251519
14.3,2018-06-12,14,GoatHill,S,PA,P,,,,P,Serpentine-Influenced Pine-Red Maple-Catbriar Forest,39.72554,-76.08028,89,11.5,2,0.173913043478261,25.38,5,182,178.5,SE,LL,8,190,186.5,S,"LL,LV",Bs,1.25,2.5,23.25,28.75,clay loam,6.58,6.513,0.95,35,677,1368,0.5,0.15,13.5,0.05,1.6,7,38,6,0.7,14.87,21.74,73.2,0.58,0.2,24,0,0.1,0.494883040935673
14.4,2018-06-14,14,GoatHill,S,PA,P,,,,P,Serpentine Outcrop/Oak Forest Ecotone,39.73343,-76.09253,63,54,67,1.24074074074074,86.48,38,314,310.5,W,"LC,LL",36,320,316.5,NW,LV,Bs,2.9,2.2,12.6,14.8,clay loam,6.48,5.694,1.1,52,382,965,0.9,0.15,38.4,0.1,2.3,7,10,5,0.84,10.09,17.49,73.62,1.22,0.25,33.05,0.05,0.1,0.395854922279793
15.1,2018-06-13,15,NottinghamPark,S,PA,P,,,,P,Serpentine Forest,39.73174,-76.03984,131,17,16,0.941176470588235,63.08,10,354,350.5,NW,"LC,LV",15,55,51.5,NE,"LL,LV",Ts,1.5,3,10,19,clay loam,6.8,8.242,1.25,50,571,1465,0.95,0.25,16.9,0.05,2.6,4,24,11,0.36,15.19,18.35,78.49,0.82,0.25,22.2,0.05,0.1,0.389761092150171
16.1,2018-06-13,16,PilotHillBarrens,S,PA,P,,,,P,Fire-Maintained Serpentine Grassland,39.70218,-76.18935,77,18,7,0.388888888888889,13.16,12,315,311.5,W,"LC,LL",7,109,105.5,E,LC,Bs,1.83333333333333,2,24,26,clay loam,6.5,3.51,0.9,36,267,911,0.75,0.15,12.1,0.1,4.2,11,31,5,0.34,9.02,14.27,81.16,0.99,0.35,21.5,0.05,0.1,0.293084522502744
16.2,2018-06-15,16,PilotHillBarrens,S,PA,P,,,,P,Serpentine Grassland/Paw-Paw Creek Bottom Lands Ecotone,39.70251,-76.18854,75,126,91,0.722222222222222,71.14,26,75,71.5,NE,LV,10,78,74.5,NE,LC,Bs/Ts,2.9,3,11.8,14.8,clay loam,6.3,6.331,0.95,58,416,985,0.95,0.2,30.6,0.1,2.4,8,18,5,1.54,10.44,17.37,68.55,1.24,0.2,32.45,0.05,0.05,0.422335025380711
17.1,2018-06-26,17,DeerIsle,S,ME,V,,,,A,Serpentine Forest/Ocean Shore Ecotone,44.26032,-68.63713,4,11,29,2.63636363636364,86.22,56,5,6,N,LL,32,0,1,N,LC,Bs/Ts,0.416666666666667,2.66666666666667,2.83333333333333,5.5,loam/sandy loam,6.96,8.06,1.95,64,1017,1375,0.7,0.6,3.3,0.05,1.2,3,83,4,0,16.71,30.44,68.58,0.98,0.5,4.8,0.05,0.05,0.739636363636364
